,occured,city,state,country,shape,summary,reported,posted,image
189,12/18/2023 16:57,Kelso,WA,USA,Disk,It was a black disc and it was moving fast around500 feet in the air.,12/18/2023,12/20/2023,Y
190,12/18/2023 23:02,Murdock,FL,USA,Sphere,We saw an orangish sphere heading south then turning east.,12/18/2023,12/20/2023,
191,12/18/2023 23:03,Hudson,FL,USA,Fireball,Red bulb of light that slowly faded to yellow and then to gray before floating there.,12/18/2023,12/20/2023,
192,12/18/2023 20:35,Lebanon,OR,USA,Fireball,"What looked like a fireball was flying calmly, making sudden turns before abruptly disappearing.",12/18/2023,12/20/2023,
193,12/18/2023 23:15,Waterloo,IL,USA,Orb,"Viewer was driving home from work. Saw ""3 balls of light"" that fell amazingly fast towards the ground. Sighting lasted <5 seconds.",12/18/2023,12/20/2023,
194,12/18/2023 17:15,Bastrop,LA,USA,Egg,2 objects seen. One larger than the other. Appeared to be on intersecting paths but disappeared,12/19/2023,12/20/2023,Y
195,12/19/2023 19:00,Nashville,TN,USA,Changing,Looked over at moon as plane went southwest turned to sit down and noticed object flashing in the sky,12/19/2023,12/20/2023,
196,12/19/2023 06:53,Early,IA,USA,Unknown,"Changing Lights, odd directional changes",12/19/2023,12/20/2023,
197,12/20/2023 05:30,Norwalk,OH,USA,Sphere,"Strange orb, light with blue and white lights, hovering in air, looking like it’s separates in the two or three lights back into one",12/20/2023,12/20/2023,Y
198,12/19/2023 18:24,Hope,ME,USA,Other,"A growing, lengthening shaft of light, that appeared to be going up in the sky (as opposed to the way a meteor moves).",12/20/2023,12/20/2023,Y
199,12/20/2023 02:00,Irmo,SC,USA,Sphere,Stationery ufo object was viewed from the outside of home.,12/20/2023,12/20/2023,Y
200,12/01/2023 07:13,Kingfisher Close,England,United Kingdom,Flash,flashing object moving erratically/hovering in the sky,12/01/2023,12/09/2023,Y
201,12/01/2023 10:25,Albion,ME,USA,Unknown,Spotted a Craft this morning.,12/01/2023,12/09/2023,
202,12/02/2023 03:45,Great Falls,MT,USA,Light,5+ white lights circling/maneuvering from our perspective over or beyond Malmstrom Airforce Base,12/02/2023,12/09/2023,
203,12/03/2023 20:25,San Cristobal de las Casas,Chiapas,Mexico,Diamond,Object floated slowly over a radio tower that was decorated with X-Mas lights. It did not blinlk. Too big to be a.drone.,12/03/2023,12/09/2023,
204,12/03/2023 17:40,Sisseton,SD,USA,Circle,"Three circular lights that were dim, and one single circular bright light.",12/03/2023,12/09/2023,
205,12/02/2023 18:54,New York,NY,USA,Orb,This thing caught my eye as I looked up over the elevated train. I watched it for about 20 minutes making odd turns,12/03/2023,12/09/2023,Y
206,12/03/2023 14:00,,,Barbados,Changing,Playing in the clouds for an hour since i noticed it.,12/03/2023,12/09/2023,
207,12/04/2023 01:00,Lorain,OH,USA,Sphere,"A Semi Transparent, White Colored, Luminescent Spherical Cloud circled directly above my home before disappearing entirely.",12/05/2023,12/09/2023,
208,12/03/2023 11:00,Vancouver,BC,Canada,Circle,Visible from the ground as well on top of the bridge,12/04/2023,12/09/2023,Y
209,12/03/2023 20:45,Davenport,FL,USA,Orb,"We were swimming, I just so happened to look up and saw strange lights.",12/04/2023,12/09/2023,
